"GLORIA_ID" "Chla" "TSS" "Latitude" "Longitude" "x440" "x490" "x560" "x660" "x705" "x740" "x780" "x850" "x865" "NDCI" "Blue_red" "green_blue" "nir_red"
"GID_1098" 1.63247142857143 5.14 45.671873 10.044059 0.0108888576809287 0.0171022151157641 0.0266900795100477 0.00578551314042607 0.00355564592794062 0.000411934061884203 0.000343767057091021 8.85530498376156e-05 0 0.761285810875786 1.494444090242 1.21893952980103 0.132936691007434
"GID_1099" 4.67935 5.87500000000128 45.723006 10.066352 0.010965100145436 0.0167092559008469 0.0261352600060484 0.00568020346976038 0.00361090521230171 0.000741454014664636 0.000662518372256401 0.000149269455016041 0 0.777281880099652 1.49260021193568 1.22000491558091 0.230922940522115
"GID_1100" 5.91515 4.25 45.766696 10.056288 0.0101815911926142 0.0172082887914672 0.0277807414027831 0.00523807345811301 0.00212491028339533 -0.00211673928557388 -0.00294317095020927 -0.000723958991690777 0 0.577187281133404 1.53328085862011 1.23500067829128 -1.3563041754366
"GID_1101" 4.0797875 3.87500000000025 45.806965 10.083335 0.0110806094900478 0.0168053658824912 0.0269181945809582 0.00617098741943771 0.00399637095982197 0.00072245761932999 0.00053870047133907 0.000111300466923264 0 0.78611785101903 1.46284013495565 1.23129014634846 0.209607131199856
"GID_1106" 1.25 1.6 45.976019 8.634333 0.00294270419303456 0.00421880469108484 0.00522513602230906 0.000467540966731085 -0.000197852660514007 -0.000429295482164239 -0.000322908872369773 -8.68922838074948e-05 0 -1.46726910995356 1.80046671719517 1.10655841261233 -22.4494727692055
"GID_1107" 1.08 1.72 45.976019 8.634333 0.00355069122524742 0.00461286400230228 0.00531674293259333 0.00147795037769273 0.00111715322631865 0.000891737912766247 0.000982107817176519 0.000207546638846812 0 0.860970039571296 1.51469531478517 1.0708868875582 0.752620432279325
"GID_1108" 1.37 1.55 45.976019 8.634333 0.00498517918648205 0.00640465911672886 0.007510700741172 0.00259851637684843 0.0017857984548643 0.00136821555286504 0.00145404733231596 0.000282589150087017 0 0.814630574404567 1.42275558691438 1.07948350856447 0.689845231343311
"GID_1114" 43.44934 9.833333333 45.16969444 10.78477778 0.00133493776080849 0.00201822114322188 0.0042046782663749 0.0018951666723408 0.00295767289080396 0.000895110143919479 0.000845419565195819 0.000186673261089692 0 1.21894525970577 1.03144448663936 1.35135665535283 0.641592360086456
"GID_1116" 31.77258 14.8 45.16086944 10.80893333 0.00256550977194045 0.0040967336048879 0.00749896453473601 0.00366007314305092 0.0047034700573934 0.00135980272147257 0.00131307126711704 0.00029339838961688 0 1.12475536854847 1.0562938430757 1.29340457891209 0.541767469224721
"GID_1117" 35.02118 16.4 45.16086944 10.80893333 0.0024961070896352 0.00405289278252085 0.00749323931411504 0.00362333246311497 0.00460775916748072 0.00127111712250957 0.00122078056931083 0.000274412385959427 0 1.11959855977141 1.05595983776663 1.29796528420081 0.519411672455658
"GID_1118" 47.9107 14 45.16924722 10.78131111 0.00374642517786453 0.00472656264054725 0.00960643762993733 0.00380146322929452 0.00580105710085314 0.00210216831593024 0.00187893288491067 0.000407040570288617 0 1.20823635908177 1.10847755686626 1.34046430595826 0.712161082488491
"GID_1119" 17.6634 7.666666667 45.16478889 10.78213056 0.00468153409777276 0.00641800195839226 0.0123064267716706 0.00539058103394512 0.00622119290531778 0.00208876080734175 0.00191637497374861 0.000415718748222088 0 1.07153186719939 1.08700628391348 1.31447820909079 0.558541340044532
"GID_1120" 22.12563333 11 45.16345278 10.77906389 0.00438943918403981 0.00605059881186744 0.0120963910874428 0.00504855520610758 0.0060976993414724 0.00208377837574287 0.00196835395400573 0.000427653014174308 0 1.09412526251633 1.09028107945318 1.3331567554245 0.584318821274831
"GID_1121" 148.8412 50 45.15983611 10.765525 0.0034320407358408 0.00461506905322422 0.0114557336167915 0.00393536369987851 0.00713837024696343 0.002774617789794 0.00255641779501384 0.000555551760739217 0 1.28924358869922 1.07949367862101 1.42565792786009 0.827012054821456
"GID_1122" 106.8946 29.66666667 45.16126944 10.75425278 0.00238041159636983 0.00367604552678463 0.0111267365755556 0.00326410124409798 0.00726320040726058 0.00288858357434497 0.00258604908050484 0.000569905728835961 0 1.37987884223366 1.0593567104971 1.50333045486045 0.938966860673998
"GID_1123" 16.67685 8 45.16667778 10.77680556 0.00249145539488592 0.00373238606372121 0.00669543494599934 0.00342036704128625 0.00466165056448984 0.00163039518579999 0.00153590965974785 0.000333243746326379 0 1.15358584746419 1.04362222739333 1.28414842175715 0.645603618818761
"GID_1124" 19.420475 6.5 45.16358333 10.77708333 0.00439016646209969 0.00620687650875665 0.0100807248667214 0.00561164740629092 0.00660251997233684 0.00240671393043287 0.00236002716388315 0.000513657210132694 0 1.08112485569665 1.05036408156757 1.2378403221359 0.600300692215057
"GID_1125" 14.081075 7 45.16221111 10.76177778 0.00370696919300656 0.00590056284245893 0.00991089123533238 0.00517153920382344 0.00558875269802502 0.00153366967481867 0.00141660715006134 0.000307584469963641 0 1.03877343644645 1.06584329114635 1.25363438259017 0.457456196391978
"GID_1126" 2.75298 1.8 45.526031 10.5985823 0.00839634551933716 0.00834250577271132 0.00652372566435375 0.00226327998527413 0.00163659243338966 0.00113431323606122 0.00103052616279008 0.000869187905920893 0.000809787391379014 0.839305627310959 1.57319899969316 0.877656949169854 0.667715740035178
